date,close,chg,rate,start,high,low,volume,amount,capitalisation
"2004/07/30","735.34","4.73","0.65","737.92","741.32","734.15","288536.0","1390428.0","3.33715223E8"
"2004/07/29","730.61","-13.81","-1.86","742.58","742.58","730.47","326280.0","1277990.0","3.31514215E8"
"2004/07/28","744.42","5.91","0.80","747.02","748.82","740.19","420808.0","1486013.0","3.37639029E8"
"2004/07/27","738.51","2.30","0.31","735.22","739.60","726.71","368900.0","1287475.0","3.34896905E8"
"2004/07/26","736.21","-1.30","-0.18","730.15","739.56","729.80","307946.0","1226243.0","3.33919848E8"
"2004/07/23","737.51","-5.12","-0.69","742.51","743.65","733.74","337066.0","1501638.0","3.34476095E8"
"2004/07/22","742.63","-10.69","-1.42","738.98","744.50","733.41","435149.0","1565359.0","3.2608074E8"
"2004/07/21","753.32","16.32","2.21","750.59","756.44","747.89","422743.0","1740511.0","3.30792677E8"
"2004/07/20","737.00","-13.40","-1.79","742.24","745.41","737.00","334956.0","1461780.0","3.23715678E8"
"2004/07/19","750.40","11.01","1.49","730.58","750.40","729.57","267804.0","1336820.0","3.29344624E8"
"2004/07/16","739.39","6.65","0.91","728.37","741.41","717.77","348154.0","1972850.0","3.24543607E8"
"2004/07/15","732.74","-3.83","-0.52","735.85","739.07","720.92","369247.0","1930799.0","3.2153621E8"
"2004/07/14","736.57","-14.38","-1.91","745.43","751.60","734.85","331125.0","1671750.0","3.23242294E8"
"2004/07/13","750.95","4.68","0.63","753.03","753.21","740.16","397542.0","1731221.0","3.29568302E8"
"2004/07/12","746.27","-1.19","-0.16","752.71","757.90","740.98","334230.0","1680760.0","3.30613952E8"
"2004/07/09","747.46","3.82","0.51","745.09","751.92","741.26","309481.0","1663406.0","3.31024892E8"
"2004/07/08","743.64","-18.24","-2.39","753.68","759.71","743.64","346295.0","2131941.0","3.29175966E8"
"2004/07/07","761.88","3.41","0.45","742.21","761.93","735.72","395042.0","1687827.0","3.37270622E8"
"2004/07/06","758.47","1.75","0.23","753.14","763.93","751.26","400147.0","1443420.0","3.35893668E8"
"2004/07/05","756.72","1.30","0.17","754.16","758.72","744.39","400907.0","1547775.0","3.35102352E8"
"2004/07/02","755.42","-22.61","-2.91","764.38","764.54","754.26","431879.0","1774282.0","3.3456597E8"
"2004/07/01","778.03","-7.76","-0.99","784.85","792.77","776.35","314986.0","1886694.0","3.45782554E8"
"2004/06/30","785.79","7.07","0.91","783.24","787.60","777.73","400194.0","2000796.0","3.49242094E8"
"2004/06/29","778.72","7.77","1.01","766.82","780.57","763.34","295058.0","1594572.0","3.45903461E8"
"2004/06/28","770.95","-8.08","-1.04","777.85","780.31","764.29","279497.0","1663427.0","3.42562789E8"
"2004/06/25","779.03","15.90","2.08","763.02","780.00","760.57","305357.0","2289631.0","3.46240845E8"
"2004/06/24","763.13","24.20","3.28","752.64","763.42","747.51","373279.0","2148573.0","3.39250685E8"
"2004/06/23","738.93","-7.55","-1.01","753.28","755.88","737.23","368500.0","1967997.0","3.28623361E8"
"2004/06/22","746.48","-2.82","-0.38","744.86","749.26","732.79","327223.0","1510036.0","3.31778419E8"
"2004/06/21","749.30","7.57","1.02","745.22","758.58","743.69","376089.0","1714746.0","3.32995427E8"
"2004/06/18","741.73","-18.36","-2.42","751.69","754.05","732.89","379819.0","1753549.0","3.29648002E8"
"2004/06/17","760.09","7.75","1.03","756.92","760.10","742.47","361069.0","1942526.0","3.37675232E8"
"2004/06/16","752.34","0.24","0.03","756.33","769.66","746.48","369897.0","1907478.0","3.34077711E8"
"2004/06/15","752.10","13.31","1.80","747.54","752.54","729.06","481765.0","2079416.0","3.33884688E8"
"2004/06/14","738.79","-12.74","-1.70","744.25","761.29","737.65","377976.0","2030115.0","3.27866996E8"
"2004/06/11","751.53","-30.77","-3.93","780.16","780.41","748.34","458723.0","2663487.0","3.33381639E8"
"2004/06/10","782.30","-12.23","-1.54","785.83","794.16","776.61","444564.0","2796938.0","3.46949719E8"
"2004/06/09","794.53","-14.78","-1.83","816.93","820.68","794.10","603579.0","2175283.0","3.52382116E8"
"2004/06/08","809.31","-0.14","-0.02","817.11","820.87","804.43","356049.0","1883781.0","3.58902902E8"
"2004/06/07","809.45","28.71","3.68","788.41","809.51","788.41","390668.0","2194896.0","3.58897547E8"
"2004/06/04","780.74","10.68","1.39","772.94","781.96","764.93","421766.0","2080842.0","3.46246298E8"
"2004/06/03","770.06","-34.33","-4.27","810.98","812.54","770.06","465568.0","2643800.0","3.4165518E8"
"2004/06/02","804.39","-11.38","-1.40","808.84","811.59","797.68","263380.0","1845241.0","3.56828878E8"
"2004/06/01","815.77","11.93","1.48","807.55","817.00","804.31","315870.0","1774134.0","3.61975183E8"
"2004/05/31","803.84","-12.67","-1.55","811.46","811.59","793.77","288475.0","1730947.0","3.56693539E8"
"2004/05/28","816.51","14.05","1.75","811.54","816.64","805.21","357724.0","2393117.0","3.62278053E8"
"2004/05/27","802.46","18.40","2.35","802.40","810.69","797.11","293069.0","2298770.0","3.56095069E8"
"2004/05/25","784.06","-15.58","-1.95","791.38","791.67","776.71","331746.0","1982924.0","3.47961139E8"
"2004/05/24","799.64","13.28","1.69","795.99","802.04","790.73","302774.0","2015461.0","3.55160659E8"
"2004/05/21","786.36","18.57","2.42","780.99","786.36","768.63","324174.0","1963323.0","3.49264023E8"
"2004/05/20","767.79","-10.16","-1.31","766.04","782.92","757.49","357496.0","2724154.0","3.41182687E8"
"2004/05/19","777.95","35.96","4.85","752.50","784.14","751.59","379674.0","2793653.0","3.45527184E8"
"2004/05/18","741.99","13.01","1.78","724.68","748.26","716.95","383582.0","2826781.0","3.29418251E8"
"2004/05/17","728.98","-39.48","-5.14","766.56","774.39","723.51","371690.0","2849786.0","3.23496855E8"
"2004/05/14","768.46","-21.67","-2.74","798.80","802.32","759.65","372338.0","3120562.0","3.42891796E8"
"2004/05/13","790.13","-26.96","-3.30","815.28","816.26","790.13","395038.0","2615438.0","3.52611588E8"
"2004/05/12","817.09","26.07","3.30","802.88","820.72","801.28","387173.0","2768651.0","3.64666242E8"
"2004/05/11","791.02","0.34","0.04","789.54","802.29","776.72","362903.0","2721006.0","3.52766596E8"
"2004/05/10","790.68","-48.06","-5.73","831.10","831.37","771.31","403022.0","3045887.0","3.52862422E8"
